Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,GED,ISAEP,Certificate of Completion,Completion Rate,Dropout Rate,Dropouts,Still Enrolled,Long-Term Absence
2011,30,Fauquier County,On-Time Graduation Rate,4 yr rate,90.80%,880,799,449,0,310,34,<,0,33,0,94.55%,3.75%,33,15,0
2011,31,Floyd County,On-Time Graduation Rate,4 yr rate,89.10%,156,139,65,0,69,<,0,6,0,0,92.95%,5.77%,9,2,0
2011,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,93.31%,299,279,154,0,108,12,<,0,2,0,93.98%,2.68%,8,5,5
2011,135,Franklin City,On-Time Graduation Rate,4 yr rate,84.47%,103,87,37,0,41,<,<,0,2,0,86.41%,9.71%,10,4,0
2011,33,Franklin County,On-Time Graduation Rate,4 yr rate,85.05%,562,478,241,0,213,13,11,0,36,0,91.46%,6.94%,39,9,0
2011,34,Frederick County,On-Time Graduation Rate,4 yr rate,84.81%,"1,106",938,430,0,478,21,<,3,65,<,91.05%,7.32%,81,14,4
2011,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,85.71%,245,209,117,0,87,<,<,6,4,0,89.80%,7.35%,18,5,2
2011,111,Galax City,On-Time Graduation Rate,4 yr rate,83.61%,122,102,56,0,43,<,<,0,5,0,87.70%,9.02%,11,0,4
2011,35,Giles County,On-Time Graduation Rate,4 yr rate,80.11%,181,145,51,0,88,<,<,5,3,0,84.53%,14.92%,27,1,0
2011,36,Gloucester County,On-Time Graduation Rate,4 yr rate,86.74%,543,471,210,0,246,<,13,0,15,<,90.06%,7.18%,39,15,0
2011,37,Goochland County,On-Time Graduation Rate,4 yr rate,89.42%,189,169,101,0,62,<,<,10,2,0,95.77%,3.70%,7,1,0
2011,38,Grayson County,On-Time Graduation Rate,4 yr rate,80.00%,175,140,64,0,71,<,<,5,0,<,84.57%,12.57%,22,3,2
2011,39,Greene County,On-Time Graduation Rate,4 yr rate,88.06%,201,177,102,0,71,<,<,1,3,0,90.05%,9.45%,19,1,0
2011,40,Greensville County,On-Time Graduation Rate,4 yr rate,83.58%,201,168,62,0,81,16,<,6,0,0,86.57%,12.94%,26,1,0
2011,41,Halifax County,On-Time Graduation Rate,4 yr rate,88.48%,486,430,167,0,224,<,32,27,0,<,94.44%,4.73%,23,3,1
2011,112,Hampton City,On-Time Graduation Rate,4 yr rate,84.69%,"1,764","1,494",513,0,908,33,40,19,95,<,91.21%,4.88%,86,45,24
2011,42,Hanover County,On-Time Graduation Rate,4 yr rate,94.34%,"1,537","1,450",896,59,442,43,10,1,30,<,96.42%,2.28%,35,16,4
2011,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,83.09%,343,285,147,0,117,<,18,2,6,11,88.63%,11.08%,38,1,0
2011,43,Henrico County,On-Time Graduation Rate,4 yr rate,85.41%,"4,038","3,449","1,716",50,"1,490",83,110,53,52,<,88.14%,9.58%,387,92,0
2011,44,Henry County,On-Time Graduation Rate,4 yr rate,88.34%,583,515,241,0,234,29,11,8,29,0,94.68%,4.29%,25,6,0
2011,45,Highland County,On-Time Graduation Rate,4 yr rate,100.00%,25,25,9,0,16,0,0,0,0,0,100.00%,0.00%,0,0,0
2011,114,Hopewell City,On-Time Graduation Rate,4 yr rate,77.81%,320,249,75,0,156,<,17,5,10,0,82.50%,13.44%,43,9,4
2011,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,88.45%,459,406,236,0,156,<,<,0,4,0,89.32%,6.75%,31,16,2
2011,48,King George County,On-Time Graduation Rate,4 yr rate,90.45%,356,322,158,0,153,<,<,1,6,0,92.42%,3.09%,11,15,1
2011,50,King William County,On-Time Graduation Rate,4 yr rate,87.34%,158,138,69,0,62,0,<,4,3,0,91.77%,4.43%,7,4,2
2011,49,King and Queen County,On-Time Graduation Rate,4 yr rate,79.31%,58,46,18,0,27,<,0,0,0,0,79.31%,15.52%,9,3,0
2011,51,Lancaster County,On-Time Graduation Rate,4 yr rate,92.23%,103,95,54,0,38,<,<,0,5,0,97.09%,2.91%,3,0,0
2011,52,Lee County,On-Time Graduation Rate,4 yr rate,90.46%,241,218,64,0,139,14,<,0,0,<,92.12%,7.88%,19,0,0
2011,53,Loudoun County,On-Time Graduation Rate,4 yr rate,95.35%,"4,044","3,855","2,811",0,964,43,38,17,28,<,96.69%,2.45%,99,21,14
2011,54,Louisa County,On-Time Graduation Rate,4 yr rate,91.55%,414,379,207,0,149,13,10,3,3,<,93.48%,6.52%,27,0,0
2011,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,70.15%,134,94,29,0,59,<,<,1,6,0,75.37%,18.66%,25,5,3
2011,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,79.85%,680,543,260,0,248,16,19,22,26,<,87.21%,8.97%,61,20,6
2011,56,Madison County,On-Time Graduation Rate,4 yr rate,85.21%,142,121,69,0,47,0,<,0,4,0,88.03%,11.27%,16,1,0
2011,143,Manassas City,On-Time Graduation Rate,4 yr rate,77.07%,532,410,217,0,166,<,18,0,21,0,81.02%,13.16%,70,10,21
2011,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,84.76%,210,178,100,0,71,<,<,0,3,0,86.19%,8.10%,17,4,8
2011,116,Martinsville City,On-Time Graduation Rate,4 yr rate,85.93%,199,171,75,0,85,<,<,0,0,0,85.93%,8.04%,16,8,4
2011,57,Mathews County,On-Time Graduation Rate,4 yr rate,91.67%,120,110,64,0,38,<,<,2,0,0,93.33%,2.50%,3,5,0
2011,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,91.65%,407,373,167,0,171,25,10,0,5,0,92.87%,5.16%,21,5,3
2011,59,Middlesex County,On-Time Graduation Rate,4 yr rate,88.89%,126,112,64,0,42,<,<,0,2,0,90.48%,7.94%,10,2,0
2011,60,Montgomery County,On-Time Graduation Rate,4 yr rate,87.09%,728,634,367,0,240,<,20,9,22,<,91.48%,7.01%,51,11,0
2011,62,Nelson County,On-Time Graduation Rate,4 yr rate,85.31%,143,122,67,0,45,<,<,0,8,<,91.61%,4.90%,7,5,0
2011,63,New Kent County,On-Time Graduation Rate,4 yr rate,85.83%,240,206,119,0,81,<,<,0,8,0,89.17%,9.17%,22,4,0
2011,117,Newport News City,On-Time Graduation Rate,4 yr rate,80.73%,"2,273","1,835",772,32,950,18,63,35,102,<,86.93%,7.04%,160,70,67
2011,118,Norfolk City,On-Time Graduation Rate,4 yr rate,73.65%,"2,330","1,716",646,22,948,27,73,75,59,0,79.40%,15.11%,352,128,0
2011,65,Northampton County,On-Time Graduation Rate,4 yr rate,70.00%,140,98,39,0,50,<,<,1,16,<,82.86%,14.29%,20,4,0
2011,66,Northumberland County,On-Time Graduation Rate,4 yr rate,74.53%,106,79,39,0,37,<,<,1,8,<,83.96%,16.04%,17,0,0
2011,119,Norton City,On-Time Graduation Rate,4 yr rate,85.48%,62,53,29,0,23,<,0,1,2,0,90.32%,8.06%,5,1,0
2011,67,Nottoway County,On-Time Graduation Rate,4 yr rate,83.66%,153,128,69,0,46,<,11,6,2,0,88.89%,11.11%,17,0,0
2011,68,Orange County,On-Time Graduation Rate,4 yr rate,90.19%,377,340,179,0,152,<,<,3,7,0,92.84%,1.59%,6,11,10
2011,69,Page County,On-Time Graduation Rate,4 yr rate,92.60%,311,288,125,0,157,<,<,2,6,<,97.11%,2.25%,7,2,0
2011,70,Patrick County,On-Time Graduation Rate,4 yr rate,95.36%,194,185,88,0,86,<,<,3,4,0,98.97%,0.52%,1,0,1
2011,120,Petersburg City,On-Time Graduation Rate,4 yr rate,68.42%,361,247,40,0,175,<,27,0,13,0,72.02%,21.88%,79,18,4
2011,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,86.89%,740,643,293,0,317,10,23,1,4,0,87.57%,11.08%,82,10,0
2011,142,Poquoson City,On-Time Graduation Rate,4 yr rate,93.13%,233,217,149,0,61,<,<,0,5,0,95.28%,1.72%,4,7,0
2011,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,77.39%,"1,110",859,358,0,453,<,39,17,15,0,80.27%,13.51%,150,52,17
2011,72,Powhatan County,On-Time Graduation Rate,4 yr rate,87.12%,365,318,186,0,120,<,<,14,7,0,92.88%,3.56%,13,10,3
2011,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,77.25%,211,163,80,0,65,0,18,4,6,0,81.99%,13.74%,29,8,1
2011,74,Prince George County,On-Time Graduation Rate,4 yr rate,82.12%,453,372,138,0,210,<,19,14,11,<,88.08%,9.93%,45,7,2
2011,75,Prince William County,On-Time Graduation Rate,4 yr rate,88.10%,"5,657","4,984","2,495",60,"2,252",65,112,29,53,0,89.55%,7.25%,410,170,11
2011,77,Pulaski County,On-Time Graduation Rate,4 yr rate,88.21%,407,359,125,0,189,10,35,0,19,<,93.37%,5.16%,21,6,0
2011,122,Radford City,On-Time Graduation Rate,4 yr rate,94.12%,119,112,43,0,61,<,<,0,0,<,94.96%,0.84%,1,4,1
2011,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,92.77%,83,77,33,0,41,<,<,0,0,0,92.77%,3.61%,3,2,1
2011,123,Richmond City,On-Time Graduation Rate,4 yr rate,70.78%,"1,742","1,233",393,0,671,91,78,31,11,11,73.82%,14.06%,245,77,134
2011,79,Richmond County,On-Time Graduation Rate,4 yr rate,76.29%,97,74,32,0,40,0,<,3,9,0,88.66%,10.31%,10,1,0
2011,124,Roanoke City,On-Time Graduation Rate,4 yr rate,75.66%,"1,027",776,289,0,436,20,32,45,5,20,82.47%,12.17%,125,55,0
2011,80,Roanoke County,On-Time Graduation Rate,4 yr rate,91.84%,"1,238","1,137",674,0,427,10,26,10,21,<,94.51%,4.04%,50,11,7
2011,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,80.76%,291,235,108,0,115,<,<,9,19,<,90.72%,8.59%,25,2,0
2011,82,Rockingham County,On-Time Graduation Rate,4 yr rate,90.95%,895,814,411,0,369,11,23,4,13,<,92.96%,4.36%,39,24,0
2011,83,Russell County,On-Time Graduation Rate,4 yr rate,86.15%,325,280,116,0,147,15,<,4,10,<,91.69%,6.46%,21,6,0
2011,139,Salem City,On-Time Graduation Rate,4 yr rate,88.00%,325,286,177,0,106,<,<,10,11,0,94.46%,3.69%,12,6,0
2011,84,Scott County,On-Time Graduation Rate,4 yr rate,93.73%,303,284,164,0,110,<,<,1,3,<,95.71%,3.96%,12,1,0
2011,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,89.76%,498,447,276,0,151,<,17,6,13,0,93.57%,3.61%,18,14,0
2011,86,Smyth County,On-Time Graduation Rate,4 yr rate,83.61%,427,357,124,0,206,21,<,2,36,0,92.51%,7.26%,31,1,0
2011,87,Southampton County,On-Time Graduation Rate,4 yr rate,86.15%,231,199,75,0,107,12,<,5,1,0,88.74%,7.79%,18,3,5
2011,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,84.54%,"1,986","1,679","1,027",0,632,11,<,0,118,0,90.48%,4.83%,96,61,32
2011,89,Stafford County,On-Time Graduation Rate,4 yr rate,91.63%,"2,343","2,147","1,413",25,677,<,23,1,31,<,93.26%,2.90%,68,36,54
2011,126,Staunton City,On-Time Graduation Rate,4 yr rate,81.08%,222,180,100,0,67,<,<,6,2,0,84.68%,12.61%,28,3,3
2011,127,Suffolk City,On-Time Graduation Rate,4 yr rate,81.15%,"1,114",904,371,0,496,14,23,32,4,<,84.47%,10.86%,121,44,8
2011,90,Surry County,On-Time Graduation Rate,4 yr rate,89.47%,95,85,47,0,36,0,<,2,0,0,91.58%,5.26%,5,0,3
2011,91,Sussex County,On-Time Graduation Rate,4 yr rate,85.04%,127,108,38,0,57,<,<,0,1,<,86.61%,9.45%,12,3,2
2011,92,Tazewell County,On-Time Graduation Rate,4 yr rate,77.06%,545,420,159,0,232,13,16,28,15,<,85.50%,12.48%,68,11,0
2011,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,86.76%,"5,643","4,896","2,819",104,"1,758",42,173,48,175,<,90.77%,6.18%,349,172,0
2011,93,Warren County,On-Time Graduation Rate,4 yr rate,92.03%,439,404,236,0,154,<,12,0,1,<,93.39%,5.01%,22,7,0
2011,94,Washington County,On-Time Graduation Rate,4 yr rate,88.71%,611,542,231,0,283,12,16,2,34,<,95.25%,3.76%,23,6,0
2011,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,79.67%,241,192,81,0,99,<,<,0,18,<,90.04%,7.05%,17,7,0
2011,207,West Point,On-Time Graduation Rate,4 yr rate,94.83%,58,55,29,0,25,0,<,0,1,0,96.55%,0.00%,0,2,0
2011,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,79.05%,148,117,59,0,47,<,<,2,2,0,81.76%,16.89%,25,1,1
2011,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,87.20%,883,770,480,0,253,18,19,30,16,<,92.53%,3.28%,29,22,15
2011,132,Winchester City,On-Time Graduation Rate,4 yr rate,88.36%,275,243,114,0,119,<,<,2,0,<,89.45%,8.73%,24,5,0
2011,96,Wise County,On-Time Graduation Rate,4 yr rate,87.31%,528,461,208,0,239,<,<,4,12,<,91.10%,4.55%,24,8,15
2011,97,Wythe County,On-Time Graduation Rate,4 yr rate,80.43%,327,263,106,0,150,<,<,2,17,<,86.85%,10.09%,33,10,0
2011,98,York County,On-Time Graduation Rate,4 yr rate,94.06%,"1,010",950,581,17,330,13,<,4,9,0,95.35%,3.27%,33,13,1
2012,1,Accomack County,On-Time Graduation Rate,4 yr rate,83.87%,341,286,133,0,142,<,<,4,13,<,89.15%,7.92%,27,5,5
2012,2,Albemarle County,On-Time Graduation Rate,4 yr rate,92.02%,"1,015",934,681,0,221,<,26,5,8,<,93.79%,4.53%,46,14,3
2012,101,Alexandria City,On-Time Graduation Rate,4 yr rate,82.07%,781,641,262,0,361,<,11,2,23,0,85.28%,11.78%,92,12,11
2012,3,Alleghany County,On-Time Graduation Rate,4 yr rate,89.09%,220,196,112,0,71,<,<,2,1,<,90.91%,9.09%,20,0,0
2012,4,Amelia County,On-Time Graduation Rate,4 yr rate,94.33%,141,133,60,0,66,<,<,1,0,0,95.04%,2.13%,3,4,0
2012,5,Amherst County,On-Time Graduation Rate,4 yr rate,88.25%,366,323,144,0,171,<,<,3,12,<,92.62%,5.46%,20,4,3
2012,6,Appomattox County,On-Time Graduation Rate,4 yr rate,79.10%,177,140,86,0,43,<,<,0,15,<,88.14%,10.17%,18,3,0
2012,7,Arlington County,On-Time Graduation Rate,4 yr rate,87.55%,"1,454","1,273",755,59,400,51,<,3,3,<,88.51%,9.28%,135,29,3
2012,8,Augusta County,On-Time Graduation Rate,4 yr rate,89.82%,855,768,396,0,340,21,11,7,10,0,91.81%,6.90%,59,9,2
2012,9,Bath County,On-Time Graduation Rate,4 yr rate,95.52%,67,64,30,0,32,<,0,0,2,0,98.51%,1.49%,1,0,0
2012,10,Bedford County,On-Time Graduation Rate,4 yr rate,89.06%,841,749,424,0,296,<,21,9,12,<,92.03%,5.47%,46,20,1
2012,11,Bland County,On-Time Graduation Rate,4 yr rate,88.46%,78,69,25,0,38,<,<,0,1,0,89.74%,3.85%,3,4,1
2012,12,Botetourt County,On-Time Graduation Rate,4 yr rate,92.50%,400,370,204,0,158,<,<,3,5,0,94.50%,4.25%,17,2,3
2012,102,Bristol City,On-Time Graduation Rate,4 yr rate,81.15%,191,155,71,0,63,10,11,0,6,<,85.86%,12.04%,23,1,3
2012,13,Brunswick County,On-Time Graduation Rate,4 yr rate,81.76%,170,139,42,0,77,16,<,8,0,<,87.65%,10.59%,18,3,0
2012,14,Buchanan County,On-Time Graduation Rate,4 yr rate,86.79%,265,230,71,0,131,28,0,0,5,<,89.43%,9.06%,24,4,0
2012,15,Buckingham County,On-Time Graduation Rate,4 yr rate,89.38%,160,143,59,0,71,11,<,0,4,0,91.88%,7.50%,12,1,0
2012,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,93.90%,82,77,43,0,27,<,<,0,1,0,95.12%,4.88%,4,0,0
2012,16,Campbell County,On-Time Graduation Rate,4 yr rate,85.36%,717,612,284,0,301,20,<,0,33,<,90.24%,5.72%,41,16,13
2012,17,Caroline County,On-Time Graduation Rate,4 yr rate,83.55%,304,254,117,0,121,<,13,4,3,0,85.86%,9.21%,28,10,5
2012,18,Carroll County,On-Time Graduation Rate,4 yr rate,88.71%,310,275,136,0,131,<,<,2,6,0,91.29%,7.42%,23,4,0
2012,19,Charles City County,On-Time Graduation Rate,4 yr rate,86.90%,84,73,37,0,30,<,0,0,0,<,88.10%,9.52%,8,2,0
2012,20,Charlotte County,On-Time Graduation Rate,4 yr rate,87.57%,169,148,78,0,59,10,<,0,16,0,97.04%,1.78%,3,1,1
2012,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,85.02%,307,261,131,0,113,<,11,7,2,<,88.60%,6.19%,19,13,3
2012,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,91.19%,"3,290","3,000","1,780",29,"1,035",74,82,17,88,<,94.59%,4.35%,143,35,0
2012,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,89.41%,"4,903","4,384","2,514",21,"1,733",47,69,39,82,<,92.03%,6.14%,301,80,10
2012,22,Clarke County,On-Time Graduation Rate,4 yr rate,100.00%,183,182,111,6,48,<,11,0,0,0,100.00%,0.00%,0,0,0
2012,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,86.54%,52,45,19,0,25,0,<,0,0,0,86.54%,7.69%,4,3,0
2012,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,89.45%,218,195,121,0,67,<,<,7,1,0,93.12%,5.05%,11,3,1
2012,107,Covington City,On-Time Graduation Rate,4 yr rate,84.06%,69,58,16,0,36,<,<,4,2,0,92.75%,7.25%,5,0,0
2012,23,Craig County,On-Time Graduation Rate,4 yr rate,85.96%,57,49,22,0,27,0,0,5,0,<,96.49%,1.75%,1,1,0
2012,24,Culpeper County,On-Time Graduation Rate,4 yr rate,91.67%,588,539,265,0,243,<,25,8,4,<,94.90%,3.23%,19,11,0
2012,25,Cumberland County,On-Time Graduation Rate,4 yr rate,86.15%,130,112,68,0,36,<,<,3,1,0,89.23%,3.85%,5,5,4
2012,108,Danville City,On-Time Graduation Rate,4 yr rate,73.84%,474,350,131,0,182,<,29,12,17,17,83.54%,9.28%,44,25,9
2012,26,Dickenson County,On-Time Graduation Rate,4 yr rate,87.63%,186,163,43,0,110,<,<,2,5,0,91.40%,4.30%,8,8,0
2012,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,82.26%,389,320,101,0,195,10,14,11,12,<,89.20%,6.94%,27,3,12
2012,28,Essex County,On-Time Graduation Rate,4 yr rate,78.86%,123,97,35,0,54,<,<,1,7,0,85.37%,14.63%,18,0,0
2012,29,Fairfax County,On-Time Graduation Rate,4 yr rate,90.78%,"13,723","12,458","8,019",356,"3,724",221,138,79,78,0,91.93%,6.39%,877,225,6
2012,109,Falls Church City,On-Time Graduation Rate,4 yr rate,97.13%,174,169,131,0,31,<,0,1,0,0,97.70%,1.15%,2,2,0
2012,30,Fauquier County,On-Time Graduation Rate,4 yr rate,93.55%,946,885,554,0,294,21,16,0,20,0,95.67%,3.07%,29,12,0
2012,31,Floyd County,On-Time Graduation Rate,4 yr rate,92.22%,167,154,72,0,76,<,<,4,0,0,94.61%,4.79%,8,0,1
2012,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,93.26%,282,263,171,0,84,<,<,4,1,0,95.04%,1.42%,4,1,9
2012,135,Franklin City,On-Time Graduation Rate,4 yr rate,78.76%,113,89,36,0,45,<,<,1,2,<,82.30%,15.93%,18,2,0
2012,33,Franklin County,On-Time Graduation Rate,4 yr rate,85.67%,607,520,262,0,233,12,13,0,25,<,89.95%,9.06%,55,6,0
2012,34,Frederick County,On-Time Graduation Rate,4 yr rate,87.29%,"1,031",900,466,0,407,18,<,9,40,<,92.14%,6.11%,63,14,4
2012,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,82.72%,243,201,112,0,87,<,<,4,6,0,86.83%,8.64%,21,7,4
2012,111,Galax City,On-Time Graduation Rate,4 yr rate,87.76%,98,86,55,0,28,0,<,0,2,0,89.80%,7.14%,7,1,2
2012,35,Giles County,On-Time Graduation Rate,4 yr rate,80.98%,205,166,58,0,100,<,<,3,4,0,84.39%,13.66%,28,4,0
2012,36,Gloucester County,On-Time Graduation Rate,4 yr rate,88.30%,487,430,165,0,243,<,20,0,9,0,90.14%,5.75%,28,20,0
2012,37,Goochland County,On-Time Graduation Rate,4 yr rate,91.37%,197,180,123,0,45,10,<,2,0,0,92.39%,5.08%,10,4,1
2012,38,Grayson County,On-Time Graduation Rate,4 yr rate,85.28%,163,139,55,0,75,<,<,4,0,0,87.73%,10.43%,17,3,0
2012,39,Greene County,On-Time Graduation Rate,4 yr rate,92.23%,206,190,100,0,89,<,0,4,2,0,95.15%,4.37%,9,1,0
2012,40,Greensville County,On-Time Graduation Rate,4 yr rate,88.89%,189,168,67,0,77,14,10,2,0,0,89.95%,9.52%,18,1,0
2012,41,Halifax County,On-Time Graduation Rate,4 yr rate,85.91%,440,378,153,0,186,<,30,21,0,<,90.91%,8.64%,38,2,0
2012,112,Hampton City,On-Time Graduation Rate,4 yr rate,84.33%,"1,832","1,545",522,8,940,23,52,19,101,0,90.88%,5.19%,95,68,4
2012,42,Hanover County,On-Time Graduation Rate,4 yr rate,93.89%,"1,556","1,461",911,42,453,42,13,1,28,<,95.82%,2.83%,44,17,4
2012,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,85.54%,325,278,142,0,118,<,15,0,3,<,88.92%,5.54%,18,0,18
2012,43,Henrico County,On-Time Graduation Rate,4 yr rate,88.30%,"4,008","3,539","1,801",41,"1,519",89,89,29,71,<,91.02%,6.71%,269,91,0
2012,44,Henry County,On-Time Graduation Rate,4 yr rate,86.52%,564,488,216,0,224,29,19,10,25,0,92.73%,5.85%,33,8,0
2012,45,Highland County,On-Time Graduation Rate,4 yr rate,100.00%,22,22,11,0,9,<,<,0,0,0,100.00%,0.00%,0,0,0
2012,114,Hopewell City,On-Time Graduation Rate,4 yr rate,85.58%,312,267,52,0,189,10,16,4,8,0,89.42%,7.69%,24,5,4
2012,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,87.03%,455,396,237,0,147,<,<,5,6,0,89.45%,6.59%,30,11,7
2012,48,King George County,On-Time Graduation Rate,4 yr rate,92.56%,336,310,152,0,150,<,<,0,1,<,93.15%,5.65%,19,3,1
2012,50,King William County,On-Time Graduation Rate,4 yr rate,91.50%,153,140,65,0,66,<,<,1,3,0,94.12%,2.61%,4,2,3
2012,49,King and Queen County,On-Time Graduation Rate,4 yr rate,80.82%,73,59,30,0,26,<,<,0,0,0,80.82%,13.70%,10,2,2
2012,51,Lancaster County,On-Time Graduation Rate,4 yr rate,91.59%,107,98,42,0,49,<,<,1,4,0,96.26%,2.80%,3,1,0
2012,52,Lee County,On-Time Graduation Rate,4 yr rate,89.07%,247,220,53,0,153,13,<,2,1,<,91.50%,6.48%,16,5,0
2012,53,Loudoun County,On-Time Graduation Rate,4 yr rate,95.24%,"4,219","4,018","2,928",0,"1,008",42,40,3,28,24,96.54%,2.87%,121,21,4
2012,54,Louisa County,On-Time Graduation Rate,4 yr rate,90.26%,390,352,202,0,134,<,<,0,4,<,91.79%,6.92%,27,5,0
2012,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,80.51%,118,95,39,0,41,<,<,0,10,0,88.98%,9.32%,11,2,0
2012,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,85.20%,723,616,312,0,275,17,12,8,21,<,89.35%,6.09%,44,18,15
2012,56,Madison County,On-Time Graduation Rate,4 yr rate,94.67%,150,142,87,0,48,0,<,2,1,<,97.33%,2.67%,4,0,0
2012,143,Manassas City,On-Time Graduation Rate,4 yr rate,80.46%,522,420,196,0,197,11,16,0,17,0,83.72%,8.24%,43,7,35
2012,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,85.11%,188,160,100,0,56,<,<,1,4,0,87.77%,8.51%,16,6,1
2012,116,Martinsville City,On-Time Graduation Rate,4 yr rate,86.46%,192,166,87,0,74,<,0,0,0,0,86.46%,10.42%,20,5,1
2012,57,Mathews County,On-Time Graduation Rate,4 yr rate,97.94%,97,95,55,0,33,<,<,0,0,0,97.94%,2.06%,2,0,0
2012,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,87.89%,380,334,150,0,146,27,11,0,1,<,88.68%,7.89%,30,6,7
2012,59,Middlesex County,On-Time Graduation Rate,4 yr rate,91.58%,95,87,45,0,35,<,<,0,2,<,94.74%,2.11%,2,2,1
2012,60,Montgomery County,On-Time Graduation Rate,4 yr rate,84.80%,717,608,359,0,215,13,21,13,21,<,90.10%,8.23%,59,12,0
2012,62,Nelson County,On-Time Graduation Rate,4 yr rate,88.74%,151,134,59,0,66,<,<,0,10,<,96.69%,1.99%,3,2,0
2012,63,New Kent County,On-Time Graduation Rate,4 yr rate,85.42%,240,205,104,0,87,<,11,1,11,0,90.42%,5.42%,13,10,0
2012,117,Newport News City,On-Time Graduation Rate,4 yr rate,82.97%,"2,261","1,876",854,17,936,19,50,43,89,0,88.81%,6.24%,141,80,32
2012,118,Norfolk City,On-Time Graduation Rate,4 yr rate,76.94%,"2,203","1,695",634,18,916,34,93,35,127,<,84.38%,10.62%,234,106,4
2012,65,Northampton County,On-Time Graduation Rate,4 yr rate,76.38%,127,97,27,0,65,<,<,0,4,0,79.53%,18.90%,24,2,0
2012,66,Northumberland County,On-Time Graduation Rate,4 yr rate,89.29%,112,100,33,0,61,<,<,1,1,0,91.07%,8.04%,9,1,0
2012,119,Norton City,On-Time Graduation Rate,4 yr rate,97.56%,82,80,40,0,35,<,<,0,0,0,97.56%,1.22%,1,0,1
2012,67,Nottoway County,On-Time Graduation Rate,4 yr rate,84.86%,185,157,81,0,56,<,15,0,6,0,88.11%,8.11%,15,7,0
2012,68,Orange County,On-Time Graduation Rate,4 yr rate,89.97%,389,350,161,0,179,<,<,1,7,<,93.57%,2.31%,9,7,9
2012,69,Page County,On-Time Graduation Rate,4 yr rate,97.24%,290,282,130,0,139,<,<,3,1,0,98.62%,1.38%,4,0,0
2012,70,Patrick County,On-Time Graduation Rate,4 yr rate,94.05%,185,174,95,0,74,<,<,2,2,<,97.30%,2.70%,5,0,0
2012,120,Petersburg City,On-Time Graduation Rate,4 yr rate,77.46%,386,299,64,0,195,<,35,1,14,0,81.35%,14.77%,57,6,9
2012,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,89.56%,728,652,314,0,303,11,24,0,3,0,89.97%,7.97%,58,15,0
2012,142,Poquoson City,On-Time Graduation Rate,4 yr rate,94.12%,204,192,139,0,52,0,<,0,6,0,97.06%,0.98%,2,3,1
2012,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,80.81%,"1,084",876,361,0,462,16,37,16,20,0,84.13%,11.72%,127,39,6
2012,72,Powhatan County,On-Time Graduation Rate,4 yr rate,91.54%,402,368,226,0,132,<,<,10,4,0,95.02%,2.74%,11,7,2
2012,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,85.19%,189,161,51,0,87,<,20,1,3,0,87.30%,7.94%,15,5,4
2012,74,Prince George County,On-Time Graduation Rate,4 yr rate,83.23%,477,397,182,0,197,<,11,15,3,<,87.21%,10.48%,50,9,2
2012,75,Prince William County,On-Time Graduation Rate,4 yr rate,89.09%,"5,823","5,188","2,537",50,"2,352",84,165,16,39,0,90.04%,7.37%,429,147,4
2012,77,Pulaski County,On-Time Graduation Rate,4 yr rate,87.36%,356,311,133,0,137,<,35,0,13,<,91.29%,7.02%,25,6,0
