School Year,Division Number,Division Name,School Number,School Name,Race,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,32,Fluvanna County,260,Fluvanna County High,American Indian or Alaska Native,2,,2
2023-2024,32,Fluvanna County,260,Fluvanna County High,Asian,6,,6
2023-2024,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",221,,221
2023-2024,32,Fluvanna County,260,Fluvanna County High,Hispanic,126,,126
2023-2024,32,Fluvanna County,260,Fluvanna County High,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,32,Fluvanna County,260,Fluvanna County High,"Non-Hispanic, two or more races",118,,118
2023-2024,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",955,,955
2023-2024,32,Fluvanna County,320,Fluvanna Middle,American Indian or Alaska Native,2,,2
2023-2024,32,Fluvanna County,320,Fluvanna Middle,Asian,4,,4
2023-2024,32,Fluvanna County,320,Fluvanna Middle,"Black, not of Hispanic origin",97,,97
2023-2024,32,Fluvanna County,320,Fluvanna Middle,Hispanic,69,,69
2023-2024,32,Fluvanna County,320,Fluvanna Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,32,Fluvanna County,320,Fluvanna Middle,"Non-Hispanic, two or more races",86,,86
2023-2024,32,Fluvanna County,320,Fluvanna Middle,"White, not of Hispanic origin",478,,478
2023-2024,39,Greene County,20,Nathanael Greene Elementary,Asian,2,,2
2023-2024,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",21,,21
2023-2024,39,Greene County,20,Nathanael Greene Elementary,Hispanic,26,,26
2023-2024,39,Greene County,20,Nathanael Greene Elementary,"Non-Hispanic, two or more races",37,,37
2023-2024,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",254,,254
2023-2024,39,Greene County,10,Nathanael Greene Primary,"Black, not of Hispanic origin",27,,27
2023-2024,39,Greene County,10,Nathanael Greene Primary,Hispanic,39,,39
2023-2024,39,Greene County,10,Nathanael Greene Primary,"Non-Hispanic, two or more races",38,,38
2023-2024,39,Greene County,10,Nathanael Greene Primary,"White, not of Hispanic origin",267,,267
2023-2024,39,Greene County,30,Ruckersville Elementary,Asian,13,,13
2023-2024,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",49,,49
2023-2024,39,Greene County,30,Ruckersville Elementary,Hispanic,106,,106
2023-2024,39,Greene County,30,Ruckersville Elementary,"Non-Hispanic, two or more races",44,,44
2023-2024,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",291,,291
2023-2024,39,Greene County,72,William Monroe High,American Indian or Alaska Native,2,,2
2023-2024,39,Greene County,72,William Monroe High,Asian,15,,15
2023-2024,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",56,,56
2023-2024,39,Greene County,72,William Monroe High,Hispanic,141,,141
2023-2024,39,Greene County,72,William Monroe High,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,39,Greene County,72,William Monroe High,"Non-Hispanic, two or more races",80,,80
2023-2024,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",684,,684
2023-2024,39,Greene County,71,William Monroe Middle,American Indian or Alaska Native,1,,1
2023-2024,39,Greene County,71,William Monroe Middle,Asian,11,,11
2023-2024,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",36,,36
2023-2024,39,Greene County,71,William Monroe Middle,Hispanic,100,,100
2023-2024,39,Greene County,71,William Monroe Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,39,Greene County,71,William Monroe Middle,"Non-Hispanic, two or more races",64,,64
2023-2024,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",412,,412
2023-2024,56,Madison County,221,Madison County High,American Indian or Alaska Native,1,,1
2023-2024,56,Madison County,221,Madison County High,"Black, not of Hispanic origin",48,,48
2023-2024,56,Madison County,221,Madison County High,Hispanic,32,,32
2023-2024,56,Madison County,221,Madison County High,"Non-Hispanic, two or more races",31,,31
2023-2024,56,Madison County,221,Madison County High,"White, not of Hispanic origin",426,1,427
2023-2024,56,Madison County,230,Madison Primary,American Indian or Alaska Native,1,,1
2023-2024,56,Madison County,230,Madison Primary,"Black, not of Hispanic origin",24,,24
2023-2024,56,Madison County,230,Madison Primary,Hispanic,25,,25
2023-2024,56,Madison County,230,Madison Primary,"Non-Hispanic, two or more races",36,,36
2023-2024,56,Madison County,230,Madison Primary,"White, not of Hispanic origin",294,1,295
2023-2024,56,Madison County,200,Waverly Yowell Elementary,American Indian or Alaska Native,2,,2
2023-2024,56,Madison County,200,Waverly Yowell Elementary,Asian,1,,1
2023-2024,56,Madison County,200,Waverly Yowell Elementary,"Black, not of Hispanic origin",20,,20
2023-2024,56,Madison County,200,Waverly Yowell Elementary,Hispanic,31,,31
2023-2024,56,Madison County,200,Waverly Yowell Elementary,"Non-Hispanic, two or more races",28,,28
2023-2024,56,Madison County,200,Waverly Yowell Elementary,"White, not of Hispanic origin",264,,264
2023-2024,56,Madison County,222,William H. Wetsel Middle,American Indian or Alaska Native,3,,3
2023-2024,56,Madison County,222,William H. Wetsel Middle,Asian,2,,2
2023-2024,56,Madison County,222,William H. Wetsel Middle,"Black, not of Hispanic origin",26,,26
2023-2024,56,Madison County,222,William H. Wetsel Middle,Hispanic,24,,24
2023-2024,56,Madison County,222,William H. Wetsel Middle,"Non-Hispanic, two or more races",53,,53
2023-2024,56,Madison County,222,William H. Wetsel Middle,"White, not of Hispanic origin",297,,297
2023-2024,62,Nelson County,710,Nelson County High,American Indian or Alaska Native,2,,2
2023-2024,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",61,,61
2023-2024,62,Nelson County,710,Nelson County High,Hispanic,50,,50
2023-2024,62,Nelson County,710,Nelson County High,"Non-Hispanic, two or more races",23,,23
2023-2024,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",349,,349
2023-2024,62,Nelson County,730,Nelson Middle,American Indian or Alaska Native,2,,2
2023-2024,62,Nelson County,730,Nelson Middle,Asian,2,,2
2023-2024,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",50,,50
2023-2024,62,Nelson County,730,Nelson Middle,Hispanic,42,,42
2023-2024,62,Nelson County,730,Nelson Middle,"Non-Hispanic, two or more races",24,,24
2023-2024,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",239,,239
2023-2024,62,Nelson County,10,Rockfish River Elementary,Asian,1,,1
2023-2024,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",17,,17
2023-2024,62,Nelson County,10,Rockfish River Elementary,Hispanic,52,,52
2023-2024,62,Nelson County,10,Rockfish River Elementary,"Non-Hispanic, two or more races",12,,12
2023-2024,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",210,,210
2023-2024,62,Nelson County,20,Tye River Elementary,Asian,1,,1
2023-2024,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",58,,58
2023-2024,62,Nelson County,20,Tye River Elementary,Hispanic,46,,46
2023-2024,62,Nelson County,20,Tye River Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,62,Nelson County,20,Tye River Elementary,"Non-Hispanic, two or more races",12,,12
2023-2024,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",241,,241
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,American Indian or Alaska Native,1,,1
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,Asian,1,,1
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,"Black, not of Hispanic origin",51,,51
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,Hispanic,36,,36
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,Native Hawaiian  or Pacific Islander,2,,2
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,"Non-Hispanic, two or more races",41,,41
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,"White, not of Hispanic origin",212,,212
2023-2024,68,Orange County,70,Lightfoot Elementary,Asian,1,,1
2023-2024,68,Orange County,70,Lightfoot Elementary,"Black, not of Hispanic origin",24,,24
2023-2024,68,Orange County,70,Lightfoot Elementary,Hispanic,33,,33
2023-2024,68,Orange County,70,Lightfoot Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,68,Orange County,70,Lightfoot Elementary,"Non-Hispanic, two or more races",21,,21
2023-2024,68,Orange County,70,Lightfoot Elementary,"White, not of Hispanic origin",169,,169
2023-2024,68,Orange County,50,Locust Grove Elementary,American Indian or Alaska Native,3,,3
2023-2024,68,Orange County,50,Locust Grove Elementary,Asian,7,,7
2023-2024,68,Orange County,50,Locust Grove Elementary,"Black, not of Hispanic origin",61,,61
2023-2024,68,Orange County,50,Locust Grove Elementary,Hispanic,89,,89
2023-2024,68,Orange County,50,Locust Grove Elementary,"Non-Hispanic, two or more races",56,,56
2023-2024,68,Orange County,50,Locust Grove Elementary,"White, not of Hispanic origin",302,,302
2023-2024,68,Orange County,471,Locust Grove Middle,American Indian or Alaska Native,1,,1
2023-2024,68,Orange County,471,Locust Grove Middle,Asian,8,,8
2023-2024,68,Orange County,471,Locust Grove Middle,"Black, not of Hispanic origin",70,,70
2023-2024,68,Orange County,471,Locust Grove Middle,Hispanic,105,,105
2023-2024,68,Orange County,471,Locust Grove Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,68,Orange County,471,Locust Grove Middle,"Non-Hispanic, two or more races",63,,63
2023-2024,68,Orange County,471,Locust Grove Middle,"White, not of Hispanic origin",432,,432
2023-2024,68,Orange County,51,Locust Grove Primary,American Indian or Alaska Native,1,,1
2023-2024,68,Orange County,51,Locust Grove Primary,Asian,7,,7
2023-2024,68,Orange County,51,Locust Grove Primary,"Black, not of Hispanic origin",46,,46
2023-2024,68,Orange County,51,Locust Grove Primary,Hispanic,102,,102
2023-2024,68,Orange County,51,Locust Grove Primary,"Non-Hispanic, two or more races",55,,55
2023-2024,68,Orange County,51,Locust Grove Primary,"White, not of Hispanic origin",273,,273
2023-2024,68,Orange County,330,Orange County High ,American Indian or Alaska Native,3,,3
2023-2024,68,Orange County,330,Orange County High ,Asian,11,,11
2023-2024,68,Orange County,330,Orange County High ,"Black, not of Hispanic origin",208,,208
2023-2024,68,Orange County,330,Orange County High ,Hispanic,206,,206
2023-2024,68,Orange County,330,Orange County High ,Native Hawaiian  or Pacific Islander,7,,7
2023-2024,68,Orange County,330,Orange County High ,"Non-Hispanic, two or more races",122,,122
2023-2024,68,Orange County,330,Orange County High ,"White, not of Hispanic origin",906,1,907
2023-2024,68,Orange County,370,Orange Elementary,American Indian or Alaska Native,1,,1
2023-2024,68,Orange County,370,Orange Elementary,Asian,5,,5
2023-2024,68,Orange County,370,Orange Elementary,"Black, not of Hispanic origin",136,,136
2023-2024,68,Orange County,370,Orange Elementary,Hispanic,84,,84
2023-2024,68,Orange County,370,Orange Elementary,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,68,Orange County,370,Orange Elementary,"Non-Hispanic, two or more races",102,,102
2023-2024,68,Orange County,370,Orange Elementary,"White, not of Hispanic origin",313,,313
2023-2024,68,Orange County,340,Prospect Heights Middle,Asian,2,,2
2023-2024,68,Orange County,340,Prospect Heights Middle,"Black, not of Hispanic origin",64,,64
2023-2024,68,Orange County,340,Prospect Heights Middle,Hispanic,56,,56
2023-2024,68,Orange County,340,Prospect Heights Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,68,Orange County,340,Prospect Heights Middle,"Non-Hispanic, two or more races",54,,54
2023-2024,68,Orange County,340,Prospect Heights Middle,"White, not of Hispanic origin",271,,271
2023-2024,68,Orange County,350,Unionville Elementary,American Indian or Alaska Native,2,,2
2023-2024,68,Orange County,350,Unionville Elementary,"Black, not of Hispanic origin",17,,17
2023-2024,68,Orange County,350,Unionville Elementary,Hispanic,31,,31
2023-2024,68,Orange County,350,Unionville Elementary,Native Hawaiian  or Pacific Islander,2,,2
2023-2024,68,Orange County,350,Unionville Elementary,"Non-Hispanic, two or more races",27,,27
2023-2024,68,Orange County,350,Unionville Elementary,"White, not of Hispanic origin",172,,172
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,American Indian or Alaska Native,1,,1
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,Asian,4,,4
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,"Black, not of Hispanic origin",40,,40
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,Hispanic,40,,40
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,Native Hawaiian  or Pacific Islander,,,
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,"Non-Hispanic, two or more races",59,,59
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,"White, not of Hispanic origin",226,,226
2023-2024,126,Staunton City,70,Bessie Weller Elementary,Asian,8,,8
2023-2024,126,Staunton City,70,Bessie Weller Elementary,"Black, not of Hispanic origin",67,,67
2023-2024,126,Staunton City,70,Bessie Weller Elementary,Hispanic,46,,46
2023-2024,126,Staunton City,70,Bessie Weller Elementary,"Non-Hispanic, two or more races",65,,65
2023-2024,126,Staunton City,70,Bessie Weller Elementary,"White, not of Hispanic origin",191,,191
2023-2024,126,Staunton City,110,Shelburne Middle,American Indian or Alaska Native,4,,4
2023-2024,126,Staunton City,110,Shelburne Middle,Asian,9,,9
2023-2024,126,Staunton City,110,Shelburne Middle,"Black, not of Hispanic origin",71,,71
2023-2024,126,Staunton City,110,Shelburne Middle,Hispanic,50,,50
2023-2024,126,Staunton City,110,Shelburne Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,126,Staunton City,110,Shelburne Middle,"Non-Hispanic, two or more races",81,,81
2023-2024,126,Staunton City,110,Shelburne Middle,"White, not of Hispanic origin",373,,373
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,Asian,3,,3
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,"Black, not of Hispanic origin",17,,17
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,Hispanic,12,,12
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,"Non-Hispanic, two or more races",27,,27
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,"White, not of Hispanic origin",84,,84
2023-2024,126,Staunton City,30,Staunton High,American Indian or Alaska Native,4,,4
2023-2024,126,Staunton City,30,Staunton High,Asian,14,,14
2023-2024,126,Staunton City,30,Staunton High,"Black, not of Hispanic origin",121,,121
2023-2024,126,Staunton City,30,Staunton High,Hispanic,64,,64
2023-2024,126,Staunton City,30,Staunton High,"Non-Hispanic, two or more races",100,,100
2023-2024,126,Staunton City,30,Staunton High,"White, not of Hispanic origin",487,,487
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,Asian,4,,4
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,"Black, not of Hispanic origin",26,,26
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,Hispanic,30,,30
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,"Non-Hispanic, two or more races",44,,44
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,"White, not of Hispanic origin",325,,325
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,Asian,2,,2
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,"Black, not of Hispanic origin",43,,43
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,Hispanic,37,,37
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,"Non-Hispanic, two or more races",29,,29
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,"White, not of Hispanic origin",146,,146
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,Asian,9,,9
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,"Black, not of Hispanic origin",120,,120
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,Hispanic,137,,137
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,Native Hawaiian  or Pacific Islander,2,,2
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,"Non-Hispanic, two or more races",74,,74
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,"White, not of Hispanic origin",282,,282
2023-2024,130,Waynesboro City,620,Wayne Hills Center,American Indian or Alaska Native,1,,1
2023-2024,130,Waynesboro City,620,Wayne Hills Center,Asian,2,,2
2023-2024,130,Waynesboro City,620,Wayne Hills Center,"Black, not of Hispanic origin",42,,42
2023-2024,130,Waynesboro City,620,Wayne Hills Center,Hispanic,47,,47
2023-2024,130,Waynesboro City,620,Wayne Hills Center,"Non-Hispanic, two or more races",22,,22
2023-2024,130,Waynesboro City,620,Wayne Hills Center,"White, not of Hispanic origin",81,,81
2023-2024,130,Waynesboro City,600,Waynesboro High ,American Indian or Alaska Native,1,,1
2023-2024,130,Waynesboro City,600,Waynesboro High ,Asian,23,,23
2023-2024,130,Waynesboro City,600,Waynesboro High ,"Black, not of Hispanic origin",160,,160
2023-2024,130,Waynesboro City,600,Waynesboro High ,Hispanic,188,,188
2023-2024,130,Waynesboro City,600,Waynesboro High ,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,130,Waynesboro City,600,Waynesboro High ,"Non-Hispanic, two or more races",80,,80
2023-2024,130,Waynesboro City,600,Waynesboro High ,"White, not of Hispanic origin",462,,462
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,Asian,2,,2
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,"Black, not of Hispanic origin",45,,45
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,Hispanic,74,,74
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,"Non-Hispanic, two or more races",11,,11
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,"White, not of Hispanic origin",81,,81
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,Asian,4,,4
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,"Black, not of Hispanic origin",57,,57
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,Hispanic,70,,70
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,"Non-Hispanic, two or more races",36,,36
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,"White, not of Hispanic origin",213,,213
2023-2024,130,Waynesboro City,751,William Perry Elementary ,American Indian or Alaska Native,1,,1
2023-2024,130,Waynesboro City,751,William Perry Elementary ,Asian,11,,11
2023-2024,130,Waynesboro City,751,William Perry Elementary ,"Black, not of Hispanic origin",92,,92
2023-2024,130,Waynesboro City,751,William Perry Elementary ,Hispanic,95,,95
2023-2024,130,Waynesboro City,751,William Perry Elementary ,"Non-Hispanic, two or more races",65,,65
2023-2024,130,Waynesboro City,751,William Perry Elementary ,"White, not of Hispanic origin",208,,208
